Ackley,1.0132019468623137,0.003129662437739562,2.0827078873697506E-5,1.2901832689612053E-7,8.635899402994103E-10,5.5911127579596104E-12,4.0708177569589075E-14,8.260059303211162E-15,7.667940356744413E-15,7.312668988864364E-15,7.312668988864364E-15,6.483702463810913E-15,6.128431095930864E-15,5.773159728050813E-15,5.536312149464113E-15,5.536312149464113E-15,5.536312149464113E-15,5.417888360170763E-15,5.417888360170763E-15,5.1810407815840636E-15,5.062616992290714E-15,4.944193202997364E-15,4.825769413704014E-15,4.825769413704014E-15,4.825769413704014E-15,4.825769413704014E-15,4.707345624410664E-15,4.707345624410664E-15,4.588921835117314E-15,4.588921835117314E-15,4.588921835117314E-15,4.352074256530614E-15,4.352074256530614E-15,4.352074256530614E-15,4.352074256530614E-15,4.352074256530614E-15,4.352074256530614E-15,4.352074256530614E-15,4.2336504672372636E-15,4.2336504672372636E-15,4.2336504672372636E-15,4.2336504672372636E-15,4.2336504672372636E-15,4.2336504672372636E-15,4.115226677943914E-15,4.115226677943914E-15,4.115226677943914E-15,4.115226677943914E-15,4.115226677943914E-15,4.115226677943914E-15,
Griewank,0.9987483504173856,0.0016623494281209385,2.5755702407481703E-7,2.8333080326348176E-11,3.671137468093852E-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Rastrigin,144.28503654122323,88.08538691328825,57.973915964901,37.22691997914038,22.59841878729718,13.1176958612702,11.77813096516191,11.77368032176947,11.773679656740322,11.773679656694407,11.773679656694398,11.773679656694394,11.773679656694394,11.773679656694394,11.773679656694393,11.773679656694393,11.773679656694393,11.773679656694393,11.773679656694393,11.773679656694393,11.773679656694393,11.77367965669439,11.77367965669439,11.77367965669439,11.77367965669439,11.77367965669439,11.77367965669439,11.77367965669439,11.77367965669439,11.77367965669439,11.77367965669439,11.77367965669439,11.77367965669439,11.77367965669439,11.77367965669439,11.77367965669439,11.77367965669439,11.77367965669439,11.77367965669439,11.77367965669439,11.77367965669439,11.77367965669439,11.77367965669439,11.77367965669439,11.77367965669439,11.77367965669439,11.77367965669439,11.77367965669439,11.77367965669439,11.77367965669439,
Schaffer_N2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Schwefel,-2569.5545651592024,-4284.304392187533,-5615.427360470176,-6791.318883459504,-7088.659059110071,-7091.464740005764,-7091.465016612634,-7091.465016647896,-7091.465016648292,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,-7091.465016648313,
Bohachevsky_N2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sphere,2.453831434578688,1.1708136023713191E-4,5.39151165427444E-9,2.1906044175654974E-13,1.0688755652075775E-17,4.885084613114456E-22,2.297526320418739E-26,6.898840326214225E-29,5.883539432914084E-29,5.883489619089388E-29,5.883489616418676E-29,7.295198886799983E-31,3.483821922115364E-35,1.234400718127659E-39,6.854412771651112E-44,3.886281780084545E-44,3.884896910592743E-44,3.8848968522527654E-44,3.884896852250069E-44,3.884896852250069E-44,3.884896852250069E-44,2.4559263161687615E-46,1.4050611982047977E-48,1.3595293637529227E-48,1.3595273369741074E-48,1.359527336893253E-48,1.359527336893248E-48,1.359527336893248E-48,1.359527336893248E-48,1.3282335585143384E-50,7.263416444226711E-54,5.168694689519059E-58,2.433656368720708E-61,2.142279199012877E-61,2.1422663315278237E-61,2.1422663311329476E-61,2.142266331132934E-61,2.142266331132934E-61,2.142266331132934E-61,1.2757984315552121E-61,1.2699455170139276E-61,1.2699452595144845E-61,1.2699452595063888E-61,1.2699452595063882E-61,1.2699452595063882E-61,1.2699452595063882E-61,1.2699452595063882E-61,1.2699452595063882E-61,1.2699452595063882E-61,1.2699452595063882E-61,
Sum_Squares,0.7522124271801133,9.239366971699281E-5,1.2845557891426995E-8,2.02561325049224E-12,3.176097684255344E-16,4.4480170080124586E-20,6.379730986186277E-24,4.7824208650231016E-26,4.1452848546551025E-26,4.145190498243081E-26,4.1451904838579213E-26,1.5808525252217611E-28,2.49578045897658E-32,3.5942796477784994E-36,5.354596564590244E-40,2.6912623281515886E-40,2.6870077236014603E-40,2.6870071548702834E-40,2.687007154794901E-40,2.6870071547948925E-40,2.6870071547948925E-40,8.383376150707218E-43,3.5193540552137183E-45,2.5733826184583573E-45,2.573250104200413E-45,2.5732500837419017E-45,2.5732500837392507E-45,2.57325008373925E-45,2.57325008373925E-45,6.208859654147176E-47,4.743378609077508E-47,4.739057934827458E-47,4.739057598138119E-47,4.739057598046933E-47,4.739057598046919E-47,4.739057598046919E-47,4.739057598046919E-47,1.1005402146620906E-47,9.931082940840192E-48,9.930930706222631E-48,9.930930692371277E-48,9.930930692369629E-48,9.930930692369629E-48,9.930930692369629E-48,6.778036193165366E-48,3.773066501118473E-50,2.937429002614797E-54,3.251833161589139E-58,7.178301692940819E-62,9.681514478990755E-66,
Booth_N2,3.310148067807113E-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Zakharov,297.26502346928874,210.8306041690266,152.91132002455163,109.51107250562512,77.04406839531656,56.09545969295703,39.22616415143875,29.06877034222791,25.385442637678224,21.867465120983628,20.364741773201423,18.868130707594673,16.873024031866727,12.001688477155835,8.360502205187846,6.716174098385482,5.629762728233625,4.791738625369951,4.451404700569038,4.192149000714421,4.023528784982309,3.662358842789493,2.5679520816317436,1.8123304164731284,1.4014214342280253,1.0189383828303418,0.8729272548155939,0.7810376846980783,0.7485907652423991,0.46647754957263904,0.32593563208199633,0.20873465515389303,0.08656678580896766,0.04415294013463348,0.020043349737080437,0.0069373506263821424,0.0029910255583981897,0.0014250309807654809,0.0012028534074396216,0.0010736056981008396,8.210821648809274E-4,3.769703014432611E-4,1.544388507215143E-4,4.7014795679840904E-5,1.4926389323961291E-5,1.0894195084591889E-5,1.0545809274283061E-5,8.266461071637328E-6,3.2912366025542314E-6,1.2713882674731978E-6,
